Time,Voltage,gNA,gK,gL
6.799999999999992,-64.34225211705075,2.2207294613781457e-08,3.329900336149087e-08,0.0187
6.8999999999999915,-64.26550368959897,2.3187648787715967e-08,3.506118049201919e-08,0.0187
6.999999999999991,-64.18889864007915,2.4209069803065814e-08,3.689060872215732e-08,0.0187
7.099999999999991,-64.11243670031647,2.5273179421287988e-08,3.878901434280698e-08,0.0187
7.19999999999999,-64.03611760262334,2.6381659064999546e-08,4.07581570336073e-08,0.0187
7.29999999999999,-63.959941079797815,2.7536251840931256e-08,4.279983069693411e-08,0.0187
7.39999999999999,-63.88390686512213,2.873876462368725e-08,4.491586430373541e-08,0.0187
7.499999999999989,-63.80801469236114,2.99910702019379e-08,4.710812275123683e-08,0.0187
7.599999999999989,-63.73226429576086,3.129510948870055e-08,4.9378507732565246e-08,0.0187
7.699999999999989,-63.656655410046795,3.2652893797389554e-08,5.1728958618353605e-08,0.0187
7.799999999999988,-63.58118777042243,3.40665071853469e-08,5.416145335040317e-08,0.0187
7.899999999999988,-63.50586111256759,3.5538108866591175e-08,5.6678009347491726e-08,0.0187
7.999999999999988,-63.430675172636796,3.7069935695554144e-08,5.928068442342789e-08,0.0187
8.099999999999987,-63.3556296872577,3.866430472360341e-08,6.197157771746251e-08,0.0187
8.199999999999987,-63.28072439352931,4.032361583017948e-08,6.475283063717778e-08,0.0187
8.299999999999986,-63.20595902902038,4.2050354430409287e-08,6.762662781398476e-08,0.0187
8.399999999999986,-63.13133333176761,4.3847094261086013e-08,7.059519807136758e-08,0.0187
8.499999999999986,-63.05684704027398,4.571650024694026e-08,7.366081540602165e-08,0.0187
8.599999999999985,-62.982499893506926,4.766133144915702e-08,7.682579998204009e-08,0.0187
8.699999999999985,-62.90829163089659,4.968444409812798e-08,8.009251913830913e-08,0.0187
8.799999999999985,-62.834221992333944,5.178879471245934e-08,8.346338840928129e-08,0.0187
8.899999999999984,-62.760290718168974,5.397744330628977e-08,8.69408725592985e-08,0.0187
8.999999999999984,-62.686497549208774,5.62535566870057e-08,9.052748663064531e-08,0.0187
9.099999999999984,-62.61284222671566,5.862041184547449e-08,9.422579700551639e-08,0.0187
9.199999999999983,-62.5393244924052,6.108139944094988e-08,9.803842248208608e-08,0.0187
9.299999999999983,-62.465944088444274,6.364002738283757e-08,1.0196803536487503e-07,0.0187
9.399999999999983,-62.39270075744905,6.629992451154302e-08,1.0601736256960906e-07,0.0187
9.499999999999982,-62.3195942424829,6.906484438065626e-08,1.101891867427735e-07,0.0187
9.599999999999982,-62.2466242870544,7.193866914276474e-08,1.1448634739606498e-07,0.0187
9.699999999999982,-62.173790635115175,7.492541354121479e-08,1.1891174205594988e-07,0.0187
9.799999999999981,-62.10109303105776,7.802922901018138e-08,1.234683274285393e-07,0.0187
9.89999999999998,-62.028531219713386,8.125440788543578e-08,1.281591205799928e-07,0.0187
